PMID	row_count	title	missing_pdbid	missing_origin_secondary_structure	missing_sup_secondary_structure	missing_origin_sequence	missing_sup_sequence
2602139	3	The use of 5'-phospho-2 deoxyribocytidylylriboadenosine as a facile route to chemical aminoacylation of tRNA.	0	3	3	3	3
6363071	1	Construction of a UGA suppressor tRNA by modification in vitro of yeast tRNACys.	0	1	1	1	1
9447966	5	Differential expression of individual suppressor tRNA(Trp) gene gene family members in vitro and in vivo in the nematode Caenorhabditis elegans.	0	5	5	5	5
11866580	1	Adding L-3-(2-Naphthyl)alanine to the genetic code of E. coli.	0	1	1	1	1
15222758	1	Site-specific insertion of spin-labeled L-amino acids in Xenopus oocytes.	0	1	0	1	0
17685515	8	Site-specific incorporation of tryptophan analogues into recombinant proteins in bacterial cells.	0	8	8	8	8
17698637	2	Improved amber and opal suppressor tRNAs for incorporation of unnatural amino acids in vivo. Part 2: evaluating suppression efficiency.	0	2	2	2	2
19378306	2	A facile system for encoding unnatural amino acids in mammalian cells.	0	2	2	2	2
19749377	2	Preparation of an ochre suppressor tRNA recognizing exclusively UAA codon by using the molecular surgery technique.	0	2	2	2	2
23274575	4	Screening system for orthogonal suppressor tRNAs based on the species-specific toxicity of suppressor tRNAs.	0	1	0	1	0
23379331	2	A versatile platform for single- and multiple-unnatural amino acid mutagenesis in Escherichia coli.	0	1	0	1	0
30778053	518	Engineered transfer RNAs for suppression of premature termination codons.	0	85	0	85	0
31346230	1	Inducible orthogonal aminoacylation demonstrates that charging is required for mitochondrial tRNA import in Trypanosoma brucei.	0	1	1	1	1
33069552	2	Genetic code expansion in mammalian cells: A plasmid system comparison.	0	2	2	2	2
